iteration,compliance,volume_fraction,max_change
1.0,1848.074672351774,0.39999999999999997,0.20000000000000007
2.0,1044.8564017083022,0.3999999990450958,0.20000000000000007
3.0,697.0142642018942,0.3999999976005412,0.20000000000000007
4.0,535.8168340448707,0.3999999991627498,0.20000000000000007
5.0,479.59444487759475,0.3999999988557736,0.2
6.0,447.38166402913134,0.3999999995174961,0.20000000000000007
7.0,425.5068502515973,0.3999999996898258,0.19959743007266395
8.0,405.42199937475516,0.4000000017048044,0.20000000000000007
9.0,390.6248958008185,0.40000000007021974,0.2
10.0,376.98954211453076,0.4000000015939494,0.20000000000000007
11.0,365.9235926318704,0.39999999887705046,0.20000000000000007
12.0,354.7657272195245,0.40000000175774986,0.20000000000000007
13.0,341.9419799339529,0.3999999983371099,0.20000000000000007
14.0,325.75458237702713,0.39999999968461236,0.20000000000000007
15.0,306.9283739498389,0.4000000008446231,0.20000000000000007
16.0,290.1311581477546,0.40000000068853847,0.20000000000000007
17.0,278.54748275171187,0.3999999999486575,0.20000000000000007
18.0,271.2529460549184,0.40000000055593254,0.20000000000000007
19.0,266.79353793604525,0.40000000013638304,0.20000000000000007
20.0,263.11487146750056,0.39999999975714845,0.20000000000000007
21.0,259.44494695913244,0.3999999998992852,0.20000000000000007
22.0,255.67912460119464,0.39999999954386073,0.20000000000000007
23.0,252.0313053424031,0.40000000011795445,0.20000000000000007
24.0,248.81895548875508,0.39999999975266515,0.20000000000000007
25.0,246.30092421698365,0.40000000031250016,0.20000000000000007
26.0,244.39228732921487,0.39999999977116785,0.20000000000000007
27.0,242.80017026563652,0.3999999998945576,0.19999999999999996
28.0,241.47449664478955,0.4000000001270747,0.19999999999999996
29.0,240.38704085345785,0.40000000000943814,0.189855836952444
30.0,239.4556961964576,0.39999999981454665,0.20000000000000007
31.0,238.65660279729332,0.3999999999904884,0.19999999999999996
32.0,238.02171229475954,0.40000000002194686,0.19057058427449003
33.0,237.47818357702363,0.4000000001248158,0.18520498742565294
34.0,236.9013235002744,0.40000000013055165,0.20000000000000007
35.0,236.29022556767922,0.39999999990918056,0.20000000000000007
36.0,235.78473299765056,0.40000000007132014,0.19999999999999996
37.0,235.39933331186165,0.39999999995295504,0.19242459779404764
38.0,235.15715840773856,0.40000000004445946,0.19999999999999996
39.0,234.9551893404951,0.40000000000095465,0.19999999999999996
40.0,234.77859422837463,0.40000000011917464,0.10350839538629986
41.0,234.66479309112626,0.39999999994431806,0.047206155911548975
42.0,234.60460375253206,0.39999999992017177,0.04042566730266772
43.0,234.54803250026652,0.4000000000027721,0.049610274226003837
44.0,234.49123902365147,0.39999999995833097,0.06983326460826156
45.0,234.4308140768203,0.39999999991808227,0.09671657653875063
46.0,234.36407526321406,0.40000000003133324,0.13063403533125412
47.0,234.29026344135679,0.3999999999388257,0.16899398627913814
48.0,234.2115115700351,0.40000000008624187,0.20000000000000007
49.0,234.13475874132473,0.3999999999236348,0.16601707653256748
50.0,234.0775464735088,0.4000000000018617,0.05671346835546032
51.0,234.06061071866844,0.399999999979693,0.055700861871660345
52.0,234.0453083808781,0.3999999999928579,0.053792200194869855
53.0,234.03137616718772,0.3999999999604986,0.05086024533310163
54.0,234.01849656080282,0.4000000000597897,0.047164157446762944
55.0,234.00634127138113,0.4000000000017227,0.04299835856216605
56.0,233.9945650424845,0.3999999999536869,0.03858843208875029
57.0,233.9827833773483,0.4000000000218596,0.03412427226880532
58.0,233.97055226268287,0.4000000000489994,0.027673531134010082
59.0,233.95755323451937,0.39999999998919433,0.030078286061319293
60.0,233.94317596813886,0.3999999999497008,0.03191924684242997
61.0,233.926091682108,0.4000000000443378,0.03488007055593623
62.0,233.90514543170417,0.4000000000170183,0.04925694544909348
63.0,233.87883825214993,0.4000000000327812,0.06900132426880443
64.0,233.84537683652928,0.4000000000176889,0.09525398604906013
65.0,233.80303715969444,0.3999999999373956,0.12818936512868034
66.0,233.75111644026595,0.3999999999220581,0.16546510958798089
67.0,233.6914373958857,0.40000000006085695,0.20000000000000007
68.0,233.62951673385578,0.40000000008087094,0.17547581247506283
69.0,233.58282945373668,0.39999999993080726,0.0232411410376403
70.0,233.57855583309507,0.3999999999661998,0.02121753108712976
71.0,233.57462826142,0.3999999999570387,0.019131259323999728
72.0,233.57093269180086,0.40000000003531017,0.017105626337916235
73.0,233.56738961645328,0.40000000001092095,0.015208345716776983
74.0,233.56393622358257,0.4000000000279516,0.013500767075564357
75.0,233.56051924903653,0.3999999999685993,0.012002554377955832
76.0,233.5570912452724,0.39999999997470886,0.01070987708812865
77.0,233.5536103198466,0.4000000000794885,0.009611734701605146
