epoch,train_noise_mse,val_noise_mse,learning_rate
52,0.09799881858958139,0.1518428921699524,0.0002
53,0.10548296405209436,0.15008363127708435,0.0002
54,0.10147183802392748,0.14841268956661224,0.0002
55,0.11803388595581055,0.14686070382595062,0.0002
56,0.10688307715786828,0.14537876844406128,0.0002
57,0.11001678100890583,0.14398354291915894,0.0002
58,0.10560467094182968,0.14263887703418732,0.0002
59,0.076597913271851,0.1414051055908203,0.0002
60,0.08797506284382609,0.14021936058998108,0.0002
61,0.10413764044642448,0.13907621800899506,0.0002
62,0.09838342335489061,0.1379522681236267,0.0002
63,0.11199221014976501,0.13674233853816986,0.0002
64,0.09459767490625381,0.1356954425573349,0.0002
65,0.08570680146416028,0.13468556106090546,0.0002
66,0.0969679823352231,0.13375364243984222,0.0002
67,0.07991319315301047,0.13293084502220154,0.0002
68,0.08791479302777185,0.13211394846439362,0.0002
69,0.09485736944609219,0.13121600449085236,0.0002
70,0.1009958754811022,0.13033774495124817,0.0002
71,0.09501001156038708,0.12962286174297333,0.0002
72,0.09076918164889018,0.1288863867521286,0.0002
73,0.08842755191855961,0.12813962996006012,0.0002
74,0.10667616791195339,0.12736013531684875,0.0002
75,0.08651959771911304,0.12664978206157684,0.0002
76,0.10012498001257579,0.12602302432060242,0.0002
77,0.10642566780249278,0.12533783912658691,0.0002
78,0.12605654696623483,0.12470114231109619,0.0002
79,0.11734382808208466,0.12411430478096008,0.0002
80,0.08187161137660344,0.12356342375278473,0.0002
81,0.08050063252449036,0.12302766740322113,0.0002
82,0.11414222833183077,0.12261743098497391,0.0002
83,0.0782431314388911,0.12213905900716782,0.0002
84,0.10484809387061331,0.12164662778377533,0.0002
85,0.06778328244884808,0.12122232466936111,0.0002
86,0.07933530956506729,0.12086209654808044,0.0002
87,0.09528326077593698,0.12054233998060226,0.0002
88,0.13315781537029478,0.12023813277482986,0.0002
89,0.07232495728466246,0.11989688873291016,0.0002
90,0.09392320240537326,0.11950043588876724,0.0002
91,0.0912609419061078,0.11917134374380112,0.0002
92,0.09665972242752711,0.11887507885694504,0.0002
93,0.09909162753158146,0.11857572197914124,0.0002
94,0.08262733908163176,0.11828996241092682,0.0002
95,0.08755954520569907,0.11806506663560867,0.0002
96,0.09282354141275088,0.11779509484767914,0.0002
97,0.06546035243405236,0.11757118254899979,0.0002
98,0.07519786556561787,0.11744724214076996,0.0002
99,0.07244871805111568,0.11715951561927795,0.0002
100,0.06411641215284665,0.1169709861278534,0.0002
101,0.0928405767513646,0.11683099716901779,0.0002
102,0.09095710102054808,0.11671895533800125,0.0002
103,0.0734608889453941,0.11662607640028,0.0002
104,0.07445750758051872,0.11649493128061295,0.0002
105,0.08332966350846821,0.1163368746638298,0.0002
106,0.07613498013880518,0.1162896454334259,0.0002
107,0.07489879346556133,0.11622603982686996,0.0002
108,0.08374997228384018,0.11615940928459167,0.0002
109,0.07921646494004461,0.11604383587837219,0.0002
110,0.0746669653389189,0.11609874665737152,0.0002
111,0.08380017222629653,0.11589886248111725,0.0002
112,0.10764552114738359,0.11566384881734848,0.0002
113,0.06804192273153199,0.11555348336696625,0.0002
114,0.07956444596250851,0.11547814309597015,0.0002
115,0.06748520707090695,0.11538106948137283,0.0002
116,0.08081379988127285,0.11527390033006668,0.0002
117,0.08654651169975598,0.11524142324924469,0.0002
118,0.08002196873227756,0.11512847989797592,0.0002
119,0.07071231595344013,0.11509067565202713,0.0002
120,0.09349817617072,0.1150224506855011,0.0002
121,0.058252311415142484,0.1150628998875618,0.0002
122,0.08934909105300903,0.11513561755418777,0.0002
123,0.08342647097176975,0.11502209305763245,0.0002
124,0.09861332302292188,0.11500540375709534,0.0002
125,0.0762463981906573,0.11497537046670914,0.0002
126,0.08140554113520516,0.1149628683924675,0.0002
127,0.08057563710543844,0.11480297148227692,0.0002
128,0.07507793853680293,0.11467202752828598,0.0002
129,0.08422045161326726,0.1145213171839714,0.0002
130,0.09893116893039809,0.1145300343632698,0.0002
131,0.10348287141985363,0.1144447848200798,0.0002
132,0.054355249222781926,0.1143689826130867,0.0002
133,0.08178888219926092,0.11426395922899246,0.0002
134,0.07767872946957748,0.1141338050365448,0.0002
135,0.051726076338026256,0.11412283033132553,0.0002
136,0.06397513838277923,0.11412519961595535,0.0002
137,0.07400305031074418,0.11409800499677658,0.0002
138,0.06951991841197014,0.11407673358917236,0.0002
139,0.09175736374325222,0.11397799104452133,0.0002
140,0.057052128637830414,0.11396154761314392,0.0002
141,0.06776054886480172,0.11398710310459137,0.0002
142,0.05318956118490961,0.1141195297241211,0.0002
143,0.08467050724559361,0.11440682411193848,0.0002
144,0.06318881197108163,0.11447164416313171,0.0002
145,0.07429758335153262,0.11448923498392105,0.0002
146,0.056330927544169955,0.11443563550710678,0.0002
147,0.06674000041352378,0.1144588515162468,0.0002
148,0.06639813135067622,0.11459880322217941,0.0002
149,0.06348099559545517,0.114786297082901,0.0002
150,0.06288267506493463,0.11502087116241455,0.0002
151,0.06953952709833781,0.11507603526115417,0.0002
152,0.07300942184196578,0.11511184275150299,0.0002
153,0.08445380814373493,0.11517807841300964,0.0002
154,0.06978208406103982,0.11530154198408127,0.0002
155,0.08984339816702737,0.115397609770298,0.0002
156,0.062393222004175186,0.11541000008583069,0.0001
157,0.06520368324385749,0.11556945741176605,0.0001
158,0.0648535852217012,0.11567805707454681,0.0001
159,0.06334435401691331,0.11580663174390793,0.0001
160,0.08200094476342201,0.11603771150112152,0.0001
161,0.07201257679197523,0.11630991846323013,0.0001
162,0.06559095117780897,0.11660909652709961,0.0001
163,0.05388459646039539,0.11690989881753922,0.0001
164,0.05958344042301178,0.11726097017526627,0.0001
165,0.07103814764155282,0.1176428496837616,0.0001
166,0.052865484522448644,0.11803938448429108,0.0001
167,0.07042857114639547,0.11838877201080322,0.0001
168,0.04741602515180906,0.11882877349853516,0.0001
169,0.05545882984168,0.11912766844034195,0.0001
170,0.07494463274876277,0.11944419890642166,0.0001
171,0.051473510969016284,0.1198691800236702,0.0001
172,0.05989553820755747,0.12024981528520584,5e-05
173,0.04941872465941641,0.12068521976470947,5e-05
174,0.06356418546703127,0.12121971696615219,5e-05
175,0.06293714625967874,0.12164033949375153,5e-05
176,0.058109107323818736,0.12206123769283295,5e-05
177,0.06825366947386,0.12246481329202652,5e-05
178,0.06668786911500825,0.12284103780984879,5e-05
179,0.06518438354962403,0.12317865341901779,5e-05
180,0.05038767121732235,0.12355697154998779,5e-05
181,0.062196685622135796,0.12396163493394852,5e-05
182,0.07217438436216778,0.12433657050132751,5e-05
183,0.05336400721636084,0.12470081448554993,5e-05
184,0.039531618563665286,0.1250908523797989,5e-05
185,0.05204817300869359,0.12552155554294586,5e-05
186,0.04400275254415141,0.12601050734519958,5e-05
187,0.050289995761381254,0.1264016479253769,5e-05
188,0.06172175415688091,0.12682759761810303,2.5e-05
189,0.05047917034890917,0.12725628912448883,2.5e-05
190,0.04856897724999322,0.1276317536830902,2.5e-05
191,0.06293463417225414,0.12803512811660767,2.5e-05
192,0.07359000171224277,0.12842370569705963,2.5e-05
193,0.04337385462390052,0.128897026181221,2.5e-05
194,0.05179309741490417,0.12926290929317474,2.5e-05
