epoch,train_noise_mse,val_noise_mse,learning_rate
1,0.7761368751525879,1.0080212354660034,0.0002
2,0.5367449025313059,0.9660851359367371,0.0002
3,0.3907676736513774,0.9162625074386597,0.0002
4,0.32815976440906525,0.8630920052528381,0.0002
5,0.28036849862999386,0.8101075291633606,0.0002
6,0.2780380778842502,0.758941650390625,0.0002
7,0.23021812240282694,0.7106901407241821,0.0002
8,0.2609943962759442,0.6656954288482666,0.0002
9,0.23575376636452144,0.6234948635101318,0.0002
10,0.19754422042104933,0.584214448928833,0.0002
11,0.2249215775065952,0.5479172468185425,0.0002
12,0.26045751406086814,0.5144480466842651,0.0002
13,0.19475427766640982,0.48342740535736084,0.0002
14,0.20847384134928384,0.4548358917236328,0.0002
15,0.20503530237409803,0.4286242723464966,0.0002
16,0.18222117672363916,0.4047974646091461,0.0002
17,0.1719624193178283,0.3830369710922241,0.0002
18,0.1787050540248553,0.3630392253398895,0.0002
19,0.14641465660598543,0.3448368310928345,0.0002
20,0.16047384507126278,0.32834258675575256,0.0002
21,0.15540301468637255,0.313443124294281,0.0002
22,0.14108808669779035,0.2999047040939331,0.0002
23,0.1526007718510098,0.28752458095550537,0.0002
24,0.11677666008472443,0.2761804461479187,0.0002
25,0.1421576945318116,0.26582592725753784,0.0002
26,0.13771675361527336,0.25637587904930115,0.0002
27,0.133958594666587,0.24766646325588226,0.0002
28,0.15121268812153074,0.2397109717130661,0.0002
29,0.14487913830412757,0.23240020871162415,0.0002
30,0.12477629300620821,0.22570541501045227,0.0002
31,0.13838464435603884,0.21949894726276398,0.0002
32,0.16189044713974,0.21374088525772095,0.0002
33,0.1441898685362604,0.20838850736618042,0.0002
34,0.1299350071284506,0.20347891747951508,0.0002
35,0.15149853295750088,0.1989741325378418,0.0002
36,0.136462373038133,0.19475416839122772,0.0002
37,0.15777516778972414,0.19077125191688538,0.0002
38,0.09881271090772417,0.18703371286392212,0.0002
39,0.12236569076776505,0.18355029821395874,0.0002
40,0.12882479197449154,0.18025417625904083,0.0002
41,0.11159066607554753,0.17709878087043762,0.0002
42,0.11832217623790105,0.1741737574338913,0.0002
43,0.1096762443582217,0.17143262922763824,0.0002
44,0.11755430118905173,0.168812096118927,0.0002
45,0.12184024436606301,0.16632334887981415,0.0002
46,0.10968280997541216,0.16397477686405182,0.0002
47,0.1157693217198054,0.16170111298561096,0.0002
48,0.12613882372776666,0.1594872772693634,0.0002
49,0.1091354572110706,0.15745685994625092,0.0002
50,0.09760976831118266,0.15552732348442078,0.0002
51,0.11396038780609767,0.1536598652601242,0.0002
