epoch,train_relative_l2_scaled,val_relative_l2_scaled,learning_rate
1.0,0.9929735830851963,0.7384507656097412,0.001
2.0,0.6074328486408506,0.5577134490013123,0.001
3.0,0.4006080648728779,0.3748358190059662,0.001
4.0,0.3035388785813536,0.26977455615997314,0.001
5.0,0.26656063539641245,0.25418224930763245,0.001
6.0,0.26207573765090536,0.23672957718372345,0.001
7.0,0.2607309605394091,0.24981778860092163,0.001
8.0,0.25863901685391155,0.22743423283100128,0.001
9.0,0.24177788091557367,0.23555783927440643,0.001
10.0,0.24104937751378333,0.226797416806221,0.001
11.0,0.2542847203356879,0.2546990215778351,0.001
12.0,0.23724275987063134,0.22167885303497314,0.001
13.0,0.2279529446469886,0.21896104514598846,0.001
14.0,0.24071851425937243,0.2300177812576294,0.001
15.0,0.23117024770804814,0.2247132509946823,0.001
16.0,0.22765423942889487,0.21620486676692963,0.001
17.0,0.22161000488059862,0.2238161563873291,0.001
18.0,0.21879986833248818,0.21177645027637482,0.001
19.0,0.21779356205037662,0.20845843851566315,0.001
20.0,0.22469447366893291,0.22146743535995483,0.001
21.0,0.22856002939598902,0.22477829456329346,0.001
22.0,0.21087100197161948,0.21890892088413239,0.001
23.0,0.2003449946641922,0.22218447923660278,0.001
24.0,0.2068200185894966,0.22022484242916107,0.001
25.0,0.19822467597467558,0.21957780420780182,0.001
26.0,0.19168095397097723,0.22924387454986572,0.001
27.0,0.19012840810631002,0.21956868469715118,0.001
28.0,0.20097838182534492,0.2085556983947754,0.001
29.0,0.1938228037740503,0.23042167723178864,0.001
30.0,0.19780020814921176,0.21369725465774536,0.001
31.0,0.19130320847034454,0.1999678760766983,0.001
32.0,0.18555915781429835,0.2094864845275879,0.001
33.0,0.18547045652355468,0.19490492343902588,0.001
34.0,0.17837809505207197,0.20634891092777252,0.001
35.0,0.18403967629585946,0.2010006457567215,0.001
36.0,0.183648217735546,0.20207399129867554,0.001
37.0,0.19057992952210562,0.23374180495738983,0.001
38.0,0.18414699578923838,0.19549603760242462,0.001
39.0,0.1774369486208473,0.19254237413406372,0.001
40.0,0.18765916249581746,0.2284926176071167,0.001
41.0,0.19745413293795927,0.2272358536720276,0.001
42.0,0.1910234530057226,0.21692311763763428,0.001
43.0,0.1791859617722886,0.18449926376342773,0.001
44.0,0.16804237450872148,0.18202340602874756,0.001
