epoch,train_relative_l2_scaled,val_relative_l2_scaled,learning_rate
45.0,0.17272207034485682,0.19766290485858917,0.001
46.0,0.16213611087628774,0.20101624727249146,0.001
47.0,0.16060096557651246,0.17503134906291962,0.001
48.0,0.16315137515110628,0.17162303626537323,0.001
49.0,0.16961909937007086,0.17151300609111786,0.001
50.0,0.16360851430467196,0.1758948713541031,0.001
51.0,0.15828473972422735,0.16302604973316193,0.001
52.0,0.1498002271567072,0.16901588439941406,0.001
53.0,0.14384681651634829,0.15074847638607025,0.001
54.0,0.14165756132985866,0.1522361785173416,0.001
55.0,0.13358818925917149,0.13651277124881744,0.001
56.0,0.12309022859803267,0.13742463290691376,0.001
57.0,0.12557741414223397,0.14639747142791748,0.001
58.0,0.1263830406325204,0.12636707723140717,0.001
59.0,0.11842453612812928,0.19368116557598114,0.001
60.0,0.14179555007389613,0.1324547678232193,0.001
61.0,0.11640242061444692,0.16427017748355865,0.001
62.0,0.11483260802924633,0.13676922023296356,0.001
63.0,0.10590795134859425,0.13584618270397186,0.001
64.0,0.0992340546633516,0.15665023028850555,0.001
65.0,0.0941161633070026,0.13698415458202362,0.001
66.0,0.09384650843484062,0.15410059690475464,0.001
67.0,0.09010425502700466,0.13823886215686798,0.001
68.0,0.08039834164083004,0.12477076053619385,0.001
69.0,0.07524903384702546,0.10897180438041687,0.001
70.0,0.0727787898587329,0.11606072634458542,0.001
71.0,0.07258977208818708,0.11206211894750595,0.001
72.0,0.07647079043090343,0.11952108889818192,0.001
73.0,0.06442300283483096,0.14469683170318604,0.001
74.0,0.07185874214129788,0.12953689694404602,0.001
75.0,0.07084493365670953,0.1178644523024559,0.001
76.0,0.08076146803796291,0.1273552030324936,0.001
77.0,0.09007744251617364,0.11018864065408707,0.001
78.0,0.08541028973247324,0.12527504563331604,0.001
79.0,0.07530326502663749,0.13049016892910004,0.001
80.0,0.06984332523175649,0.09665901213884354,0.001
81.0,0.06414939383310932,0.10358929634094238,0.001
82.0,0.06321848795882293,0.09656807035207748,0.001
83.0,0.06470272370747157,0.10057976096868515,0.001
84.0,0.06205599462347371,0.09402730315923691,0.001
85.0,0.057694892798151286,0.09962007403373718,0.001
86.0,0.061778967667903216,0.11867689341306686,0.001
87.0,0.0587994171572583,0.08897574990987778,0.001
88.0,0.0687758991760867,0.10980858653783798,0.001
89.0,0.06900700394596372,0.09505555033683777,0.001
90.0,0.09149403630622796,0.164036363363266,0.001
91.0,0.082947649327772,0.09135397523641586,0.001
92.0,0.06477055964725358,0.10948636382818222,0.001
93.0,0.06732394493051938,0.11864880472421646,0.001
94.0,0.059154901653528214,0.09960493445396423,0.001
95.0,0.056030773158584325,0.10868916660547256,0.001
96.0,0.05194133520126343,0.10164893418550491,0.001
97.0,0.058057286377464025,0.10024607926607132,0.001
98.0,0.0552761262016637,0.10563641786575317,0.001
99.0,0.05926221768770899,0.09821978956460953,0.001
100.0,0.05240913214428084,0.10645055770874023,0.0005
101.0,0.04753214041037219,0.0947430431842804,0.0005
102.0,0.040669978729316165,0.09215813875198364,0.0005
103.0,0.03608448311154332,0.09323381632566452,0.0005
104.0,0.03630203567445278,0.08960788697004318,0.0005
105.0,0.03593149807836328,0.11134275048971176,0.0005
106.0,0.03156878626240151,0.09506779164075851,0.0005
107.0,0.03558316733688116,0.09245219081640244,0.0005
108.0,0.03578908023025308,0.0959477499127388,0.0005
109.0,0.03062502627394029,0.09364134073257446,0.0005
110.0,0.03061072914195912,0.08730852603912354,0.0005
111.0,0.031025033311120102,0.09302210807800293,0.0005
112.0,0.02873763974223818,0.09314409643411636,0.0005
113.0,0.028723604577992643,0.10172492265701294,0.0005
114.0,0.03043649305722543,0.09092123061418533,0.0005
115.0,0.02680675871670246,0.09491550922393799,0.0005
116.0,0.028569164419812814,0.09188535809516907,0.0005
117.0,0.029528278458331312,0.08893238753080368,0.0005
118.0,0.02759950701147318,0.10580479353666306,0.0005
119.0,0.028092989698052406,0.09909232705831528,0.0005
120.0,0.029164619211639677,0.10370931029319763,0.0005
121.0,0.028009329523359026,0.0897626057267189,0.0005
122.0,0.02839415892958641,0.08827368170022964,0.0005
123.0,0.028539316595665047,0.096498042345047,0.00025
124.0,0.02555976901203394,0.09264930337667465,0.00025
125.0,0.02375017505671297,0.09152815490961075,0.00025
126.0,0.022561058601630584,0.09246494621038437,0.00025
127.0,0.022125708804066693,0.0905933752655983,0.00025
128.0,0.021654241452259675,0.09120726585388184,0.00025
129.0,0.021308878702776774,0.08885552734136581,0.00025
130.0,0.021818473003804684,0.08999472856521606,0.00025
131.0,0.02215627407921212,0.08806610107421875,0.00025
132.0,0.0205846531316638,0.0905127003788948,0.00025
133.0,0.020863476808049848,0.08708468079566956,0.00025
134.0,0.021782752259501388,0.09293671697378159,0.00025
135.0,0.021846747558031763,0.08519969135522842,0.00025
136.0,0.020458624498652562,0.08835139870643616,0.00025
137.0,0.019979912654629776,0.08988004177808762,0.00025
138.0,0.02021356099950416,0.08871921896934509,0.00025
139.0,0.020259882057351724,0.08732021600008011,0.00025
140.0,0.020362338051199913,0.08911081403493881,0.00025
141.0,0.019768644257315567,0.08474558591842651,0.00025
142.0,0.020436907719288553,0.08774258941411972,0.00025
143.0,0.020526428573897908,0.08716093748807907,0.00025
144.0,0.02006103683795248,0.08466392755508423,0.00025
145.0,0.020418112631887197,0.08829490095376968,0.00025
146.0,0.021308170099343573,0.09092218428850174,0.00025
147.0,0.01968992268666625,0.08875206112861633,0.00025
148.0,0.019297669042966197,0.08844532817602158,0.00025
149.0,0.01991200606737818,0.08904557675123215,0.00025
150.0,0.021961217746138573,0.09444662928581238,0.00025
151.0,0.020500409017716135,0.09267999976873398,0.00025
152.0,0.020110332939241613,0.0898607149720192,0.00025
153.0,0.019175826971020018,0.08903640508651733,0.00025
154.0,0.0185805519909731,0.08633329719305038,0.00025
155.0,0.018794606971953596,0.08738159388303757,0.00025
156.0,0.018438861040132388,0.08795151114463806,0.00025
157.0,0.018524895422160625,0.08690112084150314,0.000125
158.0,0.017996629966156825,0.08924359828233719,0.000125
159.0,0.017599736074251787,0.08717265725135803,0.000125
160.0,0.01743029330724052,0.08409757167100906,0.000125
161.0,0.01689312799966761,0.08741266280412674,0.000125
162.0,0.01725690412734236,0.08664489537477493,0.000125
163.0,0.017067907444600548,0.08757144212722778,0.000125
164.0,0.017352227454206774,0.08638826012611389,0.000125
165.0,0.0167268048306661,0.08616455644369125,0.000125
166.0,0.01707849432049053,0.08695279806852341,0.000125
167.0,0.016948449425399303,0.08682659268379211,0.000125
168.0,0.01701528100030763,0.08627293258905411,0.000125
169.0,0.016650364667709385,0.0861273780465126,0.000125
170.0,0.01709521295768874,0.08785716444253922,0.000125
171.0,0.017472010904124806,0.0864172950387001,0.000125
172.0,0.016949928299124752,0.08780085295438766,0.000125
173.0,0.017067980087761368,0.08494407683610916,6.25e-05
174.0,0.016320116751428162,0.08569655567407608,6.25e-05
175.0,0.0164055127118315,0.08624228835105896,6.25e-05
176.0,0.016196877296481813,0.08709591627120972,6.25e-05
177.0,0.016265992673912218,0.08658558130264282,6.25e-05
178.0,0.016470396359051977,0.08582070469856262,6.25e-05
179.0,0.016235918870994022,0.08622860908508301,6.25e-05
180.0,0.016076508909463882,0.08462580293416977,6.25e-05
181.0,0.016065036478851522,0.08474455028772354,6.25e-05
182.0,0.016105466854891608,0.08724743127822876,6.25e-05
183.0,0.01597954279610089,0.08614832162857056,6.25e-05
184.0,0.01612274016120604,0.08624213933944702,6.25e-05
185.0,0.015750047950340167,0.08473250269889832,6.25e-05
186.0,0.016106596615697657,0.08531448990106583,3.125e-05
187.0,0.01568431220948696,0.08585450798273087,3.125e-05
188.0,0.015551355334797077,0.08575025200843811,3.125e-05
189.0,0.015697957881327187,0.08529471606016159,3.125e-05
190.0,0.015983193048409054,0.08544651418924332,3.125e-05
191.0,0.015435907723648208,0.08666417747735977,3.125e-05
192.0,0.015850475257528678,0.08545384556055069,3.125e-05
193.0,0.015569322942090886,0.08536773920059204,3.125e-05
194.0,0.015385309300784553,0.08559566736221313,3.125e-05
195.0,0.015516861009278468,0.08570084720849991,3.125e-05
196.0,0.015922613441944122,0.08566700667142868,3.125e-05
197.0,0.015330908154802663,0.08521469682455063,3.125e-05
198.0,0.015828721225261688,0.08434884995222092,3.125e-05
199.0,0.01563095860183239,0.085617296397686,1.5625e-05
200.0,0.015391714139176267,0.0862346887588501,1.5625e-05
201.0,0.015218097583523818,0.08575525134801865,1.5625e-05
202.0,0.015533571863280875,0.08533403277397156,1.5625e-05
203.0,0.015317307585584266,0.08570953458547592,1.5625e-05
204.0,0.015349973791411944,0.0856630876660347,1.5625e-05
205.0,0.015183423712317432,0.08531127125024796,1.5625e-05
