iteration,compliance,volume_fraction,max_change
1.0,1993.323267330081,0.39999999999999997,0.20000000000000007
2.0,1098.3148199776963,0.39999999936233294,0.20000000000000007
3.0,749.3182912091437,0.3999999978810143,0.20000000000000007
4.0,583.1624260889978,0.39999999906786315,0.20000000000000007
5.0,520.0821062829341,0.40000000000302344,0.20000000000000007
6.0,485.97006889910324,0.40000000080556264,0.20000000000000007
7.0,461.8957146494603,0.40000000096544497,0.20000000000000007
8.0,437.3245483242115,0.40000000163514776,0.20000000000000007
9.0,412.2283657791602,0.3999999983139076,0.2
10.0,388.1290742739185,0.39999999907781364,0.20000000000000007
11.0,364.913518025784,0.39999999936481334,0.20000000000000007
12.0,342.6717729708848,0.40000000018944554,0.20000000000000007
13.0,325.32512190590546,0.3999999996381713,0.20000000000000007
14.0,313.6043383535417,0.40000000096796784,0.20000000000000007
15.0,304.0216310970171,0.40000000027407195,0.20000000000000007
16.0,295.3566204781046,0.39999999940190206,0.20000000000000007
17.0,287.7879983411453,0.400000000546727,0.20000000000000007
18.0,281.5614936955689,0.4000000002800199,0.20000000000000007
19.0,276.73398174338206,0.39999999979059514,0.20000000000000007
20.0,273.37557373620473,0.3999999999968809,0.20000000000000007
21.0,270.6090359149993,0.4000000001494395,0.20000000000000007
22.0,268.1321534440774,0.39999999994273,0.20000000000000007
23.0,266.07148269198296,0.39999999967862615,0.19999999999999996
24.0,264.5605397335539,0.40000000002045616,0.19999999999999996
25.0,264.0347983339891,0.40000000006729214,0.18023002118909714
26.0,263.66479786874095,0.39999999974392936,0.14156001580751165
27.0,263.38659490376807,0.40000000020199117,0.13046659166898833
28.0,263.1586896454281,0.4000000001805639,0.14372352166128433
29.0,262.969085101921,0.3999999999107498,0.15834477898171218
30.0,262.81081866187674,0.4000000000855331,0.1386725384633296
31.0,262.6789969681851,0.39999999995599667,0.10271332234060992
32.0,262.57674861840815,0.4000000002168438,0.10327727184231628
33.0,262.4879534260217,0.3999999998424025,0.09844182573793026
34.0,262.4074677757337,0.4000000000363615,0.08965162891211498
35.0,262.3333102319035,0.3999999998549906,0.09672204898255432
36.0,262.2638592876127,0.4000000001612986,0.09925352794123599
37.0,262.20103795222394,0.39999999986412504,0.09812560806235837
38.0,262.14248747677453,0.40000000003870206,0.09094039747285798
39.0,262.0871760768953,0.40000000001964464,0.08301509196143936
40.0,262.0347050817868,0.400000000123994,0.09041637150087006
41.0,261.98736497102186,0.3999999998667878,0.09487684566464782
42.0,261.9445306947823,0.4000000000585908,0.09540069451136779
43.0,261.904310988518,0.4000000000137396,0.09051182418864012
44.0,261.86636255068504,0.39999999991172164,0.08077318436963665
45.0,261.8305562327117,0.39999999992206536,0.0750811141153257
46.0,261.79665628429245,0.4000000001263182,0.08191689441531841
47.0,261.76508168540033,0.4000000000252213,0.087512933481946
48.0,261.7342590403802,0.4000000000943221,0.08946407903783771
49.0,261.7042050846239,0.399999999903528,0.0870417291140253
50.0,261.6750487052268,0.40000000011398523,0.08031771929094655
51.0,261.6469082643234,0.3999999999848318,0.07007377214242705
52.0,261.61987376359036,0.400000000082169,0.062263022714762584
53.0,261.5940299983748,0.4000000000105745,0.06921641995890288
54.0,261.5700038838703,0.3999999998914949,0.0757331685536306
55.0,261.54691139034287,0.39999999988439255,0.08026723037996275
56.0,261.52509747368885,0.40000000004961916,0.08196764968881254
57.0,261.5048409665999,0.39999999999133445,0.08013037335790174
58.0,261.4859912290518,0.39999999989586027,0.0750531135389444
59.0,261.4683840699858,0.40000000001130354,0.06732255860906367
60.0,261.4518087097273,0.3999999998851293,0.0577304053085389
61.0,261.43609218975865,0.39999999992153207,0.051978703462793874
62.0,261.4210353017655,0.39999999993981145,0.05884607970382322
63.0,261.4065500399118,0.4000000000529346,0.0656113149562958
64.0,261.39193154365245,0.40000000003992237,0.07121229604028473
65.0,261.37721002154854,0.39999999997563346,0.07489232046925498
66.0,261.3624575864592,0.3999999999502089,0.07606275198520673
67.0,261.3477625509441,0.4000000000775074,0.07444432290895864
68.0,261.3331895588136,0.4000000000693816,0.07006685674215507
69.0,261.3187544028224,0.399999999984802,0.06339159808327677
70.0,261.30446317268274,0.4000000000678236,0.05907343426605949
71.0,261.29032757018535,0.40000000007628805,0.06334819619121368
72.0,261.2764031296756,0.3999999999634814,0.06575489857056899
73.0,261.2629752466715,0.4000000000397326,0.06578490320846198
74.0,261.2500837889667,0.3999999999304831,0.0631006589634231
75.0,261.23753140599933,0.3999999999913458,0.05823325525825118
76.0,261.22542080433493,0.40000000008543,0.06228832374241394
77.0,261.21382712606993,0.40000000008306885,0.06599995418398019
78.0,261.2028058070633,0.3999999999245904,0.0679630946952049
79.0,261.1923763771657,0.4000000000376778,0.0678182246700979
80.0,261.1825302051336,0.3999999999309185,0.06553302950022477
81.0,261.1732204280841,0.40000000000192965,0.061360749576984897
82.0,261.16434656184333,0.3999999999045567,0.05582700347375191
83.0,261.1557399075165,0.3999999998866856,0.049665199918160874
84.0,261.1472141279715,0.40000000001239916,0.043281614889376985
85.0,261.1385916643038,0.399999999883005,0.03707014603023717
86.0,261.1297237922923,0.40000000002225305,0.028081192939413913
87.0,261.1206454259353,0.4000000000729846,0.03240689638384123
88.0,261.11113187118076,0.39999999994557583,0.037094052752822265
89.0,261.10088172770327,0.40000000001467867,0.041942030766466576
90.0,261.08984651232583,0.39999999994116625,0.0467206183128982
91.0,261.07802890219443,0.4000000000721134,0.05112034364133933
92.0,261.06548928416464,0.3999999999777421,0.05477549973341689
93.0,261.05234502762426,0.40000000002317226,0.05731558089860328
94.0,261.0387638090058,0.3999999999854505,0.05844098418544619
95.0,261.02494872547453,0.3999999999097381,0.05802780036381616
96.0,261.01111026540195,0.3999999999145305,0.05915289027864418
97.0,260.997454846429,0.3999999998807544,0.06531761067833575
98.0,260.9842012001831,0.39999999995709895,0.0697924495084638
99.0,260.97159089936827,0.40000000000504216,0.07179693028704526
100.0,260.9598508022699,0.400000000060746,0.0708907944297289
101.0,260.9491384290071,0.40000000007202713,0.067160033370535
102.0,260.93950484016193,0.3999999998920403,0.06119535585254332
103.0,260.9308930783161,0.4000000000206528,0.053872938220899336
104.0,260.9231693367173,0.4000000000947921,0.04609197489423955
105.0,260.91616300195113,0.39999999997027635,0.03856520959427068
106.0,260.9097003629263,0.39999999996295155,0.03200243953994719
107.0,260.9037116137689,0.4000000000364865,0.02772563063077993
108.0,260.89794671291264,0.40000000002756614,0.029093245882752694
109.0,260.8923338909809,0.40000000006447034,0.031151338095455394
110.0,260.8868815728299,0.40000000011589804,0.03386363477370763
111.0,260.88143675108984,0.4000000000024088,0.037578742886752114
112.0,260.8759849947596,0.3999999999609869,0.04109640371428536
113.0,260.8705313349759,0.4000000000431681,0.04427491757758273
114.0,260.86511225562276,0.3999999999489951,0.046894932166895664
