snapshot_rank,progress_fraction,sample_count,field_median,field_p90,compliance_median,compliance_p90,residual_median,residual_p90
0,0.0,5,0.03296753764152527,0.04813047051429749,0.03849011389730552,0.15972879301273435,69.47755330024891,88.6575221049772
1,0.05,5,0.04291829839348793,0.06327563375234604,0.06964849274872813,0.14197080005171878,61.06197068181587,110.59289846881046
2,0.15,5,0.03960511088371277,0.074321286380291,0.08075417357078207,0.17781946140317864,72.1905106995902,80.54236264649583
3,0.35,5,0.03486752510070801,0.07668089121580124,0.07979059540765872,0.18677288406750847,65.91053711078132,79.69784347075328
4,0.65,5,0.03518320992588997,0.07982460111379625,0.07702439002760793,0.18998546526501922,63.09392877720726,80.46516156750695
5,1.0,5,0.03802097588777542,0.08082336485385895,0.07685152040507355,0.1920103570652842,62.33191097408472,79.76825059867
