condition_id,screen_rank,candidate_index,screen_compliance,filtered_start_compliance,refined_compliance,uniform30_compliance,terminal_compliance,refined_over_screen,refined_over_uniform30,refined_over_terminal,initial_binarity,refined_binarity,rms_density_change,connected_before,connected_after,final_volume_fraction,final_relative_residual,final_change
4,1,7,4342.919210972251,4342.245216468511,340.60529061702596,340.27934658681124,335.6966247558594,0.07842772892401435,1.000957871917541,1.0146223271227004,0.8398966958576928,0.22029086289013355,0.39384412545767217,0,1,0.3000000117834751,2.1217114975737895e-12,0.19999999999999996
4,2,9,4373.336259400182,4373.137691777324,339.886626209257,340.27934658681124,335.6966247558594,0.07771792655520013,0.9988458882929762,1.012481512009377,0.8399274076917115,0.21896451066375064,0.3937736599850906,0,1,0.3000000119441343,2.0530281470098583e-12,0.18745721121942305
4,3,12,4399.98832227527,4399.264723088164,339.59158829628547,340.27934658681124,335.6966247558594,0.07718011126917716,0.997978842097164,1.0116026294373939,0.8399317775577883,0.21948937343880356,0.39385121783644744,0,1,0.30000001192258413,2.0169786049420166e-12,0.19999999999999996
4,4,0,4403.224719551559,4402.862844747593,339.6124379320385,340.27934658681124,335.6966247558594,0.07712811849553432,0.9980401142136243,1.0116647380027337,0.83993162082932,0.2186104023486446,0.3944415241593098,0,1,0.30000001183700375,2.0042766622901745e-12,0.09407037484904801
10,1,9,1517.149249599296,1523.4962949848943,247.91866192548602,247.3864895015119,240.0925750732422,0.1634108588795502,1.002151178203169,1.0325961219327855,0.9569162231706411,0.22153346953199335,0.41735239999487034,0,1,0.40000000600952096,2.0342091738370495e-12,0.20000000000000007
10,2,14,1646.8365039227174,1649.3975027912643,248.10236595228213,247.3864895015119,240.0925750732422,0.15065391455758323,1.002893757263029,1.0333612602413735,0.9579130660939877,0.21208084229744475,0.4250274361455865,0,1,0.4000000059778583,1.8974657883461674e-12,0.13281101588647493
10,3,8,1712.408500581325,1713.8441361132295,246.9198086655382,247.3864895015119,240.0925750732422,0.14419445394116787,0.9981135556880488,1.0284358380937575,0.9593852791800354,0.22212733973400112,0.4246642196888038,0,1,0.4000000061757387,1.9129329976757817e-12,0.19999999999999996
10,4,5,1854.6444535310773,1854.5104312386165,246.12236696107215,247.3864895015119,240.0925750732422,0.13270595692477724,0.9948900906311133,1.0251144454841659,0.9599279021043321,0.21635133021350883,0.43142374639636005,0,1,0.40000000601170865,1.843380918279082e-12,0.19999999999999996
11,1,10,760.4270815119962,737.0902949948378,221.11428114270765,215.0973170478067,210.5071258544922,0.2907764419739691,1.0279732177857135,1.0503885806485591,0.6186754025309021,0.20981079386215287,0.24828524210282057,0,1,0.40000000597444396,1.9457571833470864e-12,0.10133311333402567
11,2,14,977.5368597497046,974.5075671485278,220.61567817824573,215.0973170478067,210.5071258544922,0.22568527823568077,1.0256551834591807,1.0480200006661096,0.8006884773413553,0.2198269488508765,0.33695061523087594,0,1,0.40000000604930186,1.7789209233915879e-12,0.2
11,3,13,1468.6681499940107,1469.2419773673853,218.13784635599484,215.0973170478067,210.5071258544922,0.14852766185260055,1.0141355984812788,1.036249226578568,0.9586469937479909,0.21841522529137705,0.4254657835995003,0,1,0.4000000057562753,1.8332096925367923e-12,0.2
11,4,8,1546.10785634809,1547.257279915445,216.74157072646335,215.0973170478067,210.5071258544922,0.14018528515753576,1.007644231463339,1.0296163127336628,0.9596341118142172,0.215996467051884,0.42770679494512726,0,1,0.4000000060182367,1.7834516972535384e-12,0.20000000000000007
19,1,14,465.8953809644494,469.37001102993173,194.47533539186463,192.10782701471362,189.17764282226562,0.41742275913807414,1.0123238517344204,1.0280037983905754,0.8875032874772139,0.2126497360240239,0.36762377348331976,0,1,0.49999999986619,1.7527745283034142e-12,0.16437072259894314
19,2,0,617.152716765465,622.0683370672574,192.78892753096136,192.10782701471362,189.17764282226562,0.3123844751771974,1.0035454074247354,1.0190893842148598,0.9789789644036097,0.20013337208587803,0.4145348965201895,0,1,0.5000000001446389,1.93411368370336e-12,0.19999999999999996
19,3,1,788.8104569048958,791.2282168289203,193.27652233890208,192.10782701471362,189.17764282226562,0.2450227689643886,1.0060835383042408,1.0216668283603014,0.9946760772138735,0.20294956795281327,0.4299764736027719,0,1,0.5000000000865011,1.9337718451758455e-12,0.14541517361930933
19,4,3,923.0742008475169,923.2865226028821,192.34958430693948,192.10782701471362,189.17764282226562,0.20837933086022173,1.0012584458217173,1.0167669997223399,0.999398006543899,0.20206696652827585,0.4433997073337596,0,1,0.49999999990267824,1.867178587359706e-12,0.1669852730568625
26,1,9,321.0750336570352,326.1415970974054,189.621130300737,191.42514841832318,187.36111450195312,0.5905819837218669,0.990575856242024,1.0120623524512624,0.8000487165490378,0.2056986125611818,0.3272718080023897,1,1,0.500000000025491,1.7074320846056687e-12,0.13418001829304615
26,2,4,333.9816986516877,336.38528681575025,190.58206610635563,191.42514841832318,187.36111450195312,0.5706362560456202,0.9955957599148616,1.0171911424254947,0.7787182787124016,0.22446687800657159,0.3081705629563543,1,1,0.500000000125112,1.6540810851564689e-12,0.15323028389759724
26,3,13,370.4506830368507,373.49943369816145,192.38822572696125,191.42514841832318,187.36111450195312,0.5193355945515246,1.0050310908289513,1.0268311342957759,0.8397446937455726,0.22210365830520887,0.335600992431591,0,1,0.5000000000799139,1.6274225753111995e-12,0.19999999999999996
26,4,11,814.9165233553904,817.0694076876309,190.30728633468155,191.42514841832318,187.36111450195312,0.23352979216950703,0.9941603175294463,1.0157245639820194,0.9968586309747929,0.20015304452088833,0.43516178530604677,0,1,0.500000000137543,1.8056582189222129e-12,0.20000000000000007
