condition_id,target_volume,load_y_fraction,load_angle_deg,field_median,compliance_median,residual_median,pairwise_order_accuracy,spearman_compliance,exact_best_snapshot_rank,predicted_best_snapshot_rank
4,0.30000001192092896,0.5,-90.0,0.027874596416950226,0.008893482392114032,71.8468285001962,1.0,1.0,5,5
10,0.4000000059604645,0.25,-90.0,0.03538382053375244,0.016636334712122704,61.69262646014913,1.0,1.0,5,5
11,0.4000000059604645,0.25,-74.99999987994416,0.09601642563939095,0.19639725273246827,83.88116242422859,0.7333333333333333,0.6,5,3
19,0.5,0.25,-90.0,0.03999800607562065,0.07693795521634074,47.92286336327494,1.0,1.0,5,5
26,0.5,0.75,-74.99999987994416,0.029837466776371002,0.14870137379639467,70.0985559929234,1.0,1.0,5,5
