condition_id,target_volume,load_y_fraction,load_angle_deg,candidate_count,raw_volume_error_median,raw_volume_error_p90,projected_volume_error_max,pairwise_diversity,projected_binarity_median,nearest_train_terminal_rms_median
4,0.30000001192092896,0.5,-90.0,16,0.09688237309455872,0.11829960346221924,8.940696716308594e-08,0.030224594364930125,0.8399124254335166,0.37451246353371237
10,0.4000000059604645,0.25,-90.0,16,0.04497672617435455,0.07285037636756897,8.940696716308594e-08,0.009982928975021016,0.9599207275464312,0.3877699907071708
11,0.4000000059604645,0.25,-74.99999987994416,16,0.04871755838394165,0.07678212225437164,8.940696716308594e-08,0.10971166519503019,0.9598887392515351,0.38780169320542546
19,0.5,0.25,-90.0,16,0.01235063374042511,0.03198249638080597,1.1920928955078125e-07,0.03545969021887096,0.9999178217488951,0.42345295389504856
26,0.5,0.75,-74.99999987994416,16,0.023813411593437195,0.04134774208068848,1.1920928955078125e-07,0.0997806425900776,0.9998985892356347,0.4241061579595601
